DATE,PCEC
1947-01-01,156.161
1947-04-01,160.031
1947-07-01,163.543
1947-10-01,167.672
1948-01-01,170.372
1948-04-01,174.142
1948-07-01,177.072
1948-10-01,177.928
1949-01-01,176.831
1949-04-01,178.446
1949-07-01,177.806
1949-10-01,180.249
1950-01-01,182.92
1950-04-01,186.806
1950-07-01,200.505
1950-10-01,197.946
1951-01-01,209.207
1951-04-01,204.942
1951-07-01,207.616
1951-10-01,211.59
1952-01-01,212.969
1952-04-01,217.088
1952-07-01,219.553
1952-10-01,227.67
1953-01-01,231.22
1953-04-01,232.96
1953-07-01,233.666
1953-10-01,233.112
1954-01-01,235.154
1954-04-01,237.885
1954-07-01,240.303
1954-10-01,245.093
1955-01-01,251.398
1955-04-01,256.466
1955-07-01,260.651
1955-10-01,264.639
1956-01-01,266.156
1956-04-01,268.834
1956-07-01,272.075
1956-10-01,277.445
1957-01-01,281.889
1957-04-01,284.176
1957-07-01,288.75
1957-10-01,290.368
1958-01-01,289.888
1958-04-01,292.819
1958-07-01,297.893
1958-10-01,301.823
1959-01-01,309.449
1959-04-01,315.505
1959-07-01,320.725
1959-10-01,322.842
1960-01-01,326.364
1960-04-01,332.208
1960-07-01,332.126
1960-10-01,334.024
1961-01-01,334.52
1961-04-01,339.455
1961-07-01,342.332
1961-10-01,349.593
1962-01-01,354.822
1962-04-01,360.458
1962-07-01,364.333
1962-10-01,370.618
1963-01-01,374.283
1963-04-01,378.413
1963-07-01,385.394
1963-10-01,390.049
1964-01-01,399.581
1964-04-01,407.536
1964-07-01,416.422
1964-10-01,418.987
1965-01-01,429.711
1965-04-01,436.642
1965-07-01,445.804
1965-10-01,459.736
1966-01-01,470.136
1966-04-01,475.189
1966-07-01,484.291
1966-10-01,490.06
1967-01-01,494.317
1967-04-01,503.458
1967-07-01,510.717
1967-10-01,518.249
1968-01-01,536.297
1968-04-01,550.014
1968-07-01,566.122
1968-10-01,574.977
1969-01-01,587.005
1969-04-01,598.337
1969-07-01,608.626
1969-10-01,620.586
1970-01-01,631.685
1970-04-01,641.57
1970-07-01,653.482
1970-10-01,660.161
1971-01-01,679.186
1971-04-01,693.225
1971-07-01,705.599
1971-10-01,721.739
1972-01-01,738.948
1972-04-01,757.364
1972-07-01,775.799
1972-10-01,800.502
1973-01-01,825.007
1973-04-01,840.527
1973-07-01,858.877
1973-10-01,873.887
1974-01-01,891.868
1974-04-01,920.422
1974-07-01,949.276
1974-10-01,959.079
1975-01-01,985.19
1975-04-01,1013.582
1975-07-01,1047.192
1975-10-01,1076.223
1976-01-01,1109.908
1976-04-01,1129.54
1976-07-01,1158.806
1976-10-01,1192.408
1977-01-01,1228.212
1977-04-01,1255.98
1977-07-01,1286.905
1977-10-01,1324.804
1978-01-01,1354.053
1978-04-01,1411.385
1978-07-01,1442.217
1978-10-01,1481.354
1979-01-01,1517.141
1979-04-01,1557.635
1979-07-01,1611.867
1979-10-01,1655.035
1980-01-01,1702.302
1980-04-01,1704.723
1980-07-01,1763.771
1980-10-01,1831.874
1981-01-01,1885.734
1981-04-01,1917.524
1981-07-01,1958.099
1981-10-01,1974.447
1982-01-01,2014.155
1982-04-01,2039.645
1982-07-01,2085.671
1982-10-01,2145.554
1983-01-01,2184.589
1983-04-01,2249.438
1983-07-01,2319.895
1983-10-01,2372.496
1984-01-01,2418.165
1984-04-01,2475.876
1984-07-01,2513.523
1984-10-01,2561.797
1985-01-01,2636.008
1985-04-01,2681.764
1985-07-01,2754.148
1985-10-01,2779.4
1986-01-01,2823.648
1986-04-01,2851.456
1986-07-01,2917.201
1986-10-01,2952.807
1987-01-01,2983.513
1987-04-01,3053.33
1987-07-01,3117.358
1987-10-01,3150.916
1988-01-01,3231.896
1988-04-01,3291.716
1988-07-01,3361.899
1988-10-01,3434.539
1989-01-01,3490.172
1989-04-01,3553.767
1989-07-01,3609.399
1989-10-01,3653.692
1990-01-01,3737.948
1990-04-01,3783.421
1990-07-01,3846.7
1990-10-01,3867.909
1991-01-01,3873.562
1991-04-01,3926.932
1991-07-01,3973.269
1991-10-01,4000.032
1992-01-01,4100.401
1992-04-01,4155.66
1992-07-01,4226.971
1992-10-01,4307.205
1993-01-01,4349.515
1993-04-01,4418.581
1993-07-01,4487.189
1993-10-01,4552.651
1994-01-01,4621.223
1994-04-01,4683.163
1994-07-01,4752.761
1994-10-01,4826.713
1995-01-01,4862.436
1995-04-01,4933.609
1995-07-01,4998.662
1995-10-01,5055.655
1996-01-01,5130.615
1996-04-01,5220.499
1996-07-01,5274.505
1996-10-01,5352.763
1997-01-01,5433.105
1997-04-01,5471.267
1997-07-01,5579.179
1997-10-01,5663.61
1998-01-01,5721.342
1998-04-01,5832.566
1998-07-01,5926.846
1998-10-01,6028.238
1999-01-01,6102.532
1999-04-01,6225.3
1999-07-01,6328.908
1999-10-01,6459.573
2000-01-01,6613.597
2000-04-01,6707.514
2000-07-01,6815.369
2000-10-01,6912.095
2001-01-01,6986.889
2001-04-01,7036.337
2001-07-01,7064.655
2001-10-01,7174.656
2002-01-01,7209.94
2002-04-01,7302.112
2002-07-01,7390.943
2002-10-01,7467.749
2003-01-01,7555.778
2003-04-01,7642.6
2003-07-01,7802.573
2003-10-01,7891.485
2004-01-01,8027.745
2004-04-01,8133.005
2004-07-01,8264.342
2004-10-01,8425.557
2005-01-01,8522.955
2005-04-01,8671.428
2005-07-01,8849.203
2005-10-01,8944.885
2006-01-01,9090.652
2006-04-01,9210.245
2006-07-01,9333.029
2006-10-01,9407.453
2007-01-01,9549.431
2007-04-01,9644.74
2007-07-01,9753.799
2007-10-01,9877.752
2008-01-01,9934.253
2008-04-01,10052.843
2008-07-01,10080.964
2008-10-01,9837.261
2009-01-01,9756.126
2009-04-01,9760.216
2009-07-01,9895.401
2009-10-01,9957.092
2010-01-01,10040.485
2010-04-01,10131.767
2010-07-01,10220.606
2010-10-01,10350.484
2011-01-01,10485.358
2011-04-01,10612.125
2011-07-01,10705.367
2011-10-01,10761.586
2012-01-01,10922.442
2012-04-01,10964.858
2012-07-01,11014.245
2012-10-01,11125.711
2013-01-01,11223.18
2013-04-01,11239.592
2013-07-01,11330.946
2013-10-01,11475.123
2014-01-01,11573.881
2014-04-01,11756.022
2014-07-01,11920.734
2014-10-01,12045.492
2015-01-01,12095.551
2015-04-01,12256.743
2015-07-01,12380.74
2015-10-01,12445.085
2016-01-01,12526.508
2016-04-01,12706.505
2016-07-01,12845.15
2016-10-01,12989.406
2017-01-01,13114.118
2017-04-01,13233.186
2017-07-01,13359.111
2017-10-01,13579.213
2018-01-01,13679.6
2018-04-01,13875.616
2018-07-01,14050.467
2018-10-01,14200.629
