DATE,INDPRO
1919-01-01,5.0124
1919-02-01,4.7908
1919-03-01,4.6523
1919-04-01,4.7354
1919-05-01,4.7631
1919-06-01,5.0677
1919-07-01,5.3724
1919-08-01,5.4554
1919-09-01,5.3447
1919-10-01,5.2893
1919-11-01,5.2062
1919-12-01,5.2893
1920-01-01,5.7877
1920-02-01,5.7877
1920-03-01,5.6770
1920-04-01,5.3724
1920-05-01,5.5108
1920-06-01,5.5662
1920-07-01,5.4277
1920-08-01,5.4554
1920-09-01,5.2616
1920-10-01,5.0400
1920-11-01,4.6247
1920-12-01,4.3477
1921-01-01,4.0985
1921-02-01,4.0154
1921-03-01,3.9046
1921-04-01,3.9046
1921-05-01,4.0154
1921-06-01,3.9877
1921-07-01,3.9600
1921-08-01,4.0985
1921-09-01,4.1262
1921-10-01,4.3754
1921-11-01,4.3200
1921-12-01,4.2923
1922-01-01,4.4585
1922-02-01,4.6524
1922-03-01,4.9016
1922-04-01,4.7354
1922-05-01,4.9847
1922-06-01,5.2339
1922-07-01,5.2339
1922-08-01,5.1231
1922-09-01,5.4000
1922-10-01,5.7047
1922-11-01,5.9539
1922-12-01,6.1201
1923-01-01,5.9816
1923-02-01,6.0647
1923-03-01,6.2585
1923-04-01,6.3970
1923-05-01,6.4801
1923-06-01,6.4247
1923-07-01,6.3693
1923-08-01,6.2585
1923-09-01,6.1201
1923-10-01,6.0924
1923-11-01,6.0924
1923-12-01,5.9539
1924-01-01,6.0924
1924-02-01,6.2031
1924-03-01,6.0924
1924-04-01,5.8985
1924-05-01,5.6493
1924-06-01,5.4000
1924-07-01,5.3170
1924-08-01,5.5108
1924-09-01,5.7047
1924-10-01,5.8431
1924-11-01,5.9539
1924-12-01,6.1201
1925-01-01,6.3139
1925-02-01,6.3139
1925-03-01,6.3139
1925-04-01,6.3693
1925-05-01,6.3416
1925-06-01,6.2862
1925-07-01,6.4524
1925-08-01,6.3416
1925-09-01,6.2585
1925-10-01,6.5077
1925-11-01,6.6462
1925-12-01,6.7293
1926-01-01,6.6185
1926-02-01,6.6185
1926-03-01,6.7016
1926-04-01,6.7016
1926-05-01,6.6462
1926-06-01,6.7293
1926-07-01,6.7570
1926-08-01,6.8401
1926-09-01,6.9508
1926-10-01,6.9508
1926-11-01,6.9231
1926-12-01,6.8954
1927-01-01,6.8677
1927-02-01,6.9231
1927-03-01,7.0062
1927-04-01,6.8401
1927-05-01,6.8954
1927-06-01,6.8678
1927-07-01,6.7847
1927-08-01,6.7847
1927-09-01,6.6739
1927-10-01,6.5354
1927-11-01,6.5354
1927-12-01,6.5631
1928-01-01,6.7016
1928-02-01,6.7570
1928-03-01,6.8124
1928-04-01,6.7847
1928-05-01,6.8678
1928-06-01,6.9231
1928-07-01,7.0062
1928-08-01,7.1447
1928-09-01,7.2001
1928-10-01,7.3385
1928-11-01,7.4770
1928-12-01,7.6155
1929-01-01,7.7262
1929-02-01,7.6985
1929-03-01,7.7262
1929-04-01,7.8647
1929-05-01,8.0032
1929-06-01,8.0585
1929-07-01,8.1693
1929-08-01,8.0862
1929-09-01,8.0308
1929-10-01,7.8924
1929-11-01,7.5047
1929-12-01,7.1724
1930-01-01,7.1724
1930-02-01,7.1447
1930-03-01,7.0339
1930-04-01,6.9785
1930-05-01,6.8678
1930-06-01,6.6739
1930-07-01,6.3693
1930-08-01,6.2308
1930-09-01,6.1201
1930-10-01,5.9539
1930-11-01,5.8154
1930-12-01,5.6770
1931-01-01,5.6493
1931-02-01,5.6770
1931-03-01,5.7877
1931-04-01,5.8154
1931-05-01,5.7324
1931-06-01,5.5939
1931-07-01,5.5108
1931-08-01,5.3170
1931-09-01,5.0677
1931-10-01,4.8739
1931-11-01,4.8185
1931-12-01,4.7908
1932-01-01,4.6523
1932-02-01,4.5416
1932-03-01,4.4862
1932-04-01,4.1816
1932-05-01,4.0431
1932-06-01,3.9047
1932-07-01,3.7939
1932-08-01,3.9046
1932-09-01,4.1539
1932-10-01,4.2923
1932-11-01,4.2923
1932-12-01,4.2093
1933-01-01,4.1262
1933-02-01,4.1539
1933-03-01,3.9046
1933-04-01,4.1816
1933-05-01,4.8739
1933-06-01,5.6216
1933-07-01,6.1477
1933-08-01,5.8985
1933-09-01,5.5662
1933-10-01,5.2893
1933-11-01,4.9847
1933-12-01,5.0123
1934-01-01,5.1785
1934-02-01,5.4277
1934-03-01,5.6770
1934-04-01,5.6770
1934-05-01,5.7877
1934-06-01,5.6770
1934-07-01,5.2893
1934-08-01,5.2339
1934-09-01,4.9293
1934-10-01,5.1508
1934-11-01,5.2062
1934-12-01,5.5385
1935-01-01,5.9816
1935-02-01,6.0924
1935-03-01,6.0647
1935-04-01,5.9539
1935-05-01,5.9539
1935-06-01,6.0370
1935-07-01,6.0370
1935-08-01,6.2585
1935-09-01,6.4247
1935-10-01,6.6185
1935-11-01,6.7570
1935-12-01,6.8401
1936-01-01,6.7293
1936-02-01,6.5631
1936-03-01,6.6462
1936-04-01,7.0616
1936-05-01,7.2001
1936-06-01,7.3385
1936-07-01,7.4770
1936-08-01,7.5878
1936-09-01,7.7262
1936-10-01,7.8370
1936-11-01,8.0585
1936-12-01,8.3078
1937-01-01,8.2801
1937-02-01,8.3908
1937-03-01,8.5847
1937-04-01,8.5847
1937-05-01,8.6124
1937-06-01,8.5016
1937-07-01,8.5570
1937-08-01,8.5016
1937-09-01,8.2247
1937-10-01,7.6155
1937-11-01,6.8678
1937-12-01,6.2585
1938-01-01,6.1201
1938-02-01,6.0647
1938-03-01,6.0647
1938-04-01,5.9539
1938-05-01,5.8154
1938-06-01,5.8708
1938-07-01,6.2031
1938-08-01,6.5354
1938-09-01,6.7293
1938-10-01,6.8954
1938-11-01,7.1724
1938-12-01,7.2554
1939-01-01,7.2554
1939-02-01,7.3108
1939-03-01,7.3385
1939-04-01,7.3108
1939-05-01,7.2831
1939-06-01,7.4493
1939-07-01,7.6708
1939-08-01,7.7816
1939-09-01,8.2524
1939-10-01,8.6678
1939-11-01,8.8893
1939-12-01,8.8893
1940-01-01,8.7785
1940-02-01,8.5016
1940-03-01,8.3078
1940-04-01,8.4739
1940-05-01,8.7232
1940-06-01,9.0001
1940-07-01,9.1108
1940-08-01,9.1662
1940-09-01,9.3601
1940-10-01,9.4985
1940-11-01,9.7201
1940-12-01,10.0524
1941-01-01,10.3016
1941-02-01,10.6062
1941-03-01,10.9386
1941-04-01,10.9662
1941-05-01,11.4647
1941-06-01,11.5478
1941-07-01,11.6863
1941-08-01,11.8247
1941-09-01,11.8247
1941-10-01,11.9355
1941-11-01,11.9909
1941-12-01,12.1847
1942-01-01,12.4340
1942-02-01,12.6555
1942-03-01,12.7940
1942-04-01,12.4340
1942-05-01,12.4616
1942-06-01,12.4893
1942-07-01,12.7940
1942-08-01,13.1817
1942-09-01,13.4863
1942-10-01,13.9294
1942-11-01,14.2617
1942-12-01,14.5940
1943-01-01,14.7325
1943-02-01,15.1201
1943-03-01,15.2309
1943-04-01,15.4247
1943-05-01,15.5355
1943-06-01,15.4524
1943-07-01,15.9232
1943-08-01,16.2555
1943-09-01,16.6709
1943-10-01,16.9201
1943-11-01,17.1417
1943-12-01,16.9201
1944-01-01,17.1140
1944-02-01,17.2525
1944-03-01,17.2248
1944-04-01,17.2248
1944-05-01,17.1140
1944-06-01,17.0586
1944-07-01,17.0309
1944-08-01,17.2525
1944-09-01,17.1417
1944-10-01,17.1971
1944-11-01,17.0586
1944-12-01,17.0032
1945-01-01,16.8371
1945-02-01,16.7817
1945-03-01,16.6709
1945-04-01,16.3663
1945-05-01,15.9232
1945-06-01,15.5632
1945-07-01,15.2032
1945-08-01,13.6247
1945-09-01,12.4063
1945-10-01,11.9078
1945-11-01,12.3509
1945-12-01,12.4063
1946-01-01,11.7139
1946-02-01,11.1324
1946-03-01,12.2955
1946-04-01,12.0740
1946-05-01,11.6309
1946-06-01,12.3509
1946-07-01,12.7663
1946-08-01,13.2370
1946-09-01,13.4863
1946-10-01,13.7355
1946-11-01,13.8186
1946-12-01,13.9017
1947-01-01,14.0678
1947-02-01,14.1509
1947-03-01,14.2340
1947-04-01,14.1232
1947-05-01,14.1786
1947-06-01,14.1786
1947-07-01,14.0955
1947-08-01,14.1786
1947-09-01,14.2894
1947-10-01,14.4278
1947-11-01,14.6217
1947-12-01,14.6771
1948-01-01,14.7601
1948-02-01,14.7878
1948-03-01,14.6217
1948-04-01,14.6494
1948-05-01,14.8986
1948-06-01,15.0924
1948-07-01,15.0924
1948-08-01,15.0370
1948-09-01,14.9263
1948-10-01,15.0371
1948-11-01,14.8432
1948-12-01,14.7047
1949-01-01,14.5663
1949-02-01,14.4278
1949-03-01,14.1509
1949-04-01,14.0678
1949-05-01,13.8740
1949-06-01,13.8463
1949-07-01,13.8186
1949-08-01,13.9570
1949-09-01,14.0955
1949-10-01,13.5694
1949-11-01,13.9294
1949-12-01,14.1786
1950-01-01,14.4278
1950-02-01,14.4832
1950-03-01,14.9540
1950-04-01,15.4524
1950-05-01,15.8124
1950-06-01,16.2832
1950-07-01,16.8094
1950-08-01,17.3355
1950-09-01,17.2248
1950-10-01,17.3355
1950-11-01,17.3078
1950-12-01,17.6125
1951-01-01,17.6678
1951-02-01,17.7786
1951-03-01,17.8617
1951-04-01,17.8894
1951-05-01,17.8340
1951-06-01,17.7509
1951-07-01,17.4740
1951-08-01,17.3078
1951-09-01,17.4186
1951-10-01,17.3909
1951-11-01,17.5294
1951-12-01,17.6402
1952-01-01,17.8340
1952-02-01,17.9448
1952-03-01,18.0002
1952-04-01,17.8340
1952-05-01,17.6678
1952-06-01,17.5017
1952-07-01,17.2248
1952-08-01,18.3325
1952-09-01,18.9971
1952-10-01,19.1910
1952-11-01,19.5786
1952-12-01,19.6894
1953-01-01,19.7448
1953-02-01,19.8556
1953-03-01,20.0217
1953-04-01,20.1048
1953-05-01,20.2156
1953-06-01,20.1325
1953-07-01,20.3817
1953-08-01,20.2709
1953-09-01,19.8556
1953-10-01,19.6894
1953-11-01,19.2186
1953-12-01,18.7479
1954-01-01,18.6094
1954-02-01,18.6648
1954-03-01,18.5540
1954-04-01,18.4432
1954-05-01,18.5540
1954-06-01,18.6094
1954-07-01,18.6371
1954-08-01,18.6094
1954-09-01,18.6371
1954-10-01,18.8586
1954-11-01,19.1632
1954-12-01,19.4125
1955-01-01,19.8556
1955-02-01,20.1048
1955-03-01,20.5756
1955-04-01,20.8248
1955-05-01,21.1571
1955-06-01,21.1848
1955-07-01,21.3510
1955-08-01,21.3233
1955-09-01,21.4617
1955-10-01,21.8217
1955-11-01,21.8771
1955-12-01,21.9602
1956-01-01,22.0987
1956-02-01,21.9048
1956-03-01,21.9048
1956-04-01,22.0710
1956-05-01,21.8771
1956-06-01,21.6833
1956-07-01,21.0186
1956-08-01,21.8771
1956-09-01,22.3756
1956-10-01,22.5694
1956-11-01,22.3756
1956-12-01,22.7079
1957-01-01,22.6248
1957-02-01,22.8464
1957-03-01,22.8187
1957-04-01,22.5141
1957-05-01,22.4310
1957-06-01,22.4864
1957-07-01,22.6248
1957-08-01,22.6248
1957-09-01,22.4310
1957-10-01,22.0987
1957-11-01,21.5725
1957-12-01,21.1571
1958-01-01,20.7694
1958-02-01,20.3263
1958-03-01,20.0771
1958-04-01,19.7448
1958-05-01,19.9386
1958-06-01,20.4648
1958-07-01,20.7694
1958-08-01,21.1848
1958-09-01,21.3787
1958-10-01,21.6279
1958-11-01,22.2648
1958-12-01,22.2925
1959-01-01,22.6248
1959-02-01,23.0679
1959-03-01,23.4002
1959-04-01,23.8987
1959-05-01,24.2587
1959-06-01,24.2864
1959-07-01,23.7048
1959-08-01,22.9017
1959-09-01,22.8741
1959-10-01,22.7079
1959-11-01,22.8464
1959-12-01,24.2587
1960-01-01,24.8956
1960-02-01,24.6741
1960-03-01,24.4525
1960-04-01,24.2587
1960-05-01,24.2310
1960-06-01,23.9264
1960-07-01,23.8433
1960-08-01,23.8156
1960-09-01,23.5664
1960-10-01,23.5387
1960-11-01,23.2064
1960-12-01,22.7633
1961-01-01,22.7910
1961-02-01,22.7633
1961-03-01,22.9018
1961-04-01,23.3725
1961-05-01,23.7325
1961-06-01,24.0648
1961-07-01,24.3418
1961-08-01,24.5633
1961-09-01,24.5356
1961-10-01,25.0064
1961-11-01,25.3941
1961-12-01,25.6156
1962-01-01,25.3941
1962-02-01,25.8095
1962-03-01,25.9479
1962-04-01,26.0033
1962-05-01,25.9756
1962-06-01,25.9202
1962-07-01,26.1695
1962-08-01,26.1972
1962-09-01,26.3633
1962-10-01,26.3910
1962-11-01,26.5018
1962-12-01,26.5018
1963-01-01,26.6956
1963-02-01,27.0003
1963-03-01,27.1664
1963-04-01,27.4156
1963-05-01,27.7480
1963-06-01,27.8310
1963-07-01,27.7203
1963-08-01,27.7756
1963-09-01,28.0526
1963-10-01,28.2464
1963-11-01,28.3849
1963-12-01,28.3295
1964-01-01,28.5787
1964-02-01,28.7726
1964-03-01,28.7726
1964-04-01,29.2434
1964-05-01,29.4095
1964-06-01,29.4926
1964-07-01,29.6864
1964-08-01,29.8803
1964-09-01,29.9910
1964-10-01,29.5757
1964-11-01,30.4895
1964-12-01,30.8495
1965-01-01,31.1818
1965-02-01,31.3757
1965-03-01,31.7911
1965-04-01,31.9295
1965-05-01,32.1788
1965-06-01,32.4280
1965-07-01,32.7326
1965-08-01,32.8711
1965-09-01,32.9542
1965-10-01,33.2865
1965-11-01,33.4249
1965-12-01,33.8403
1966-01-01,34.1726
1966-02-01,34.3942
1966-03-01,34.8649
1966-04-01,34.9203
1966-05-01,35.2526
1966-06-01,35.4188
1966-07-01,35.6126
1966-08-01,35.6403
1966-09-01,35.9726
1966-10-01,36.2218
1966-11-01,35.9726
1966-12-01,36.0557
1967-01-01,36.2258
1967-02-01,35.8149
1967-03-01,35.6130
1967-04-01,35.9489
1967-05-01,35.6353
1967-06-01,35.6308
1967-07-01,35.5497
1967-08-01,36.2308
1967-09-01,36.1720
1967-10-01,36.4666
1967-11-01,36.9881
1967-12-01,37.3865
1968-01-01,37.3462
1968-02-01,37.4801
1968-03-01,37.5970
1968-04-01,37.6515
1968-05-01,38.0738
1968-06-01,38.2137
1968-07-01,38.1551
1968-08-01,38.2615
1968-09-01,38.4065
1968-10-01,38.4827
1968-11-01,38.9805
1968-12-01,39.1036
1969-01-01,39.3402
1969-02-01,39.5919
1969-03-01,39.9024
1969-04-01,39.7555
1969-05-01,39.6053
